epoch,loss,mae,val_loss,val_mae
1,35.83546829223633,3.825805425643921,14.308107376098633,2.322455406188965
2,16.691513061523438,2.601649522781372,13.758157730102539,2.2624073028564453
3,16.233963012695312,2.5385985374450684,13.683449745178223,2.2222914695739746
4,15.917460441589355,2.4910480976104736,13.659605979919434,2.2246949672698975
5,15.696608543395996,2.4658589363098145,13.690839767456055,2.218549966812134
6,15.506840705871582,2.4479475021362305,13.736924171447754,2.2049598693847656
7,15.419746398925781,2.437045097351074,13.781584739685059,2.1835691928863525
8,15.303594589233398,2.421288251876831,13.60770034790039,2.2298433780670166
9,15.24587345123291,2.413372278213501,13.6035795211792,2.2183187007904053
10,15.14561939239502,2.4058547019958496,13.546732902526855,2.2808585166931152
11,15.089512825012207,2.397900342941284,13.622291564941406,2.2223384380340576
12,15.08250904083252,2.396012306213379,13.557909965515137,2.241694688796997
13,15.036619186401367,2.3896515369415283,13.67357349395752,2.197563648223877
14,15.0009126663208,2.3867688179016113,13.59556770324707,2.2204511165618896
15,14.955950736999512,2.383666753768921,13.577170372009277,2.196486473083496
16,14.92317008972168,2.381622314453125,13.604549407958984,2.1951987743377686
17,14.928905487060547,2.3760128021240234,13.639363288879395,2.209165573120117
18,14.904035568237305,2.3749618530273438,13.673677444458008,2.217846155166626
19,14.869431495666504,2.370347023010254,13.60364818572998,2.207904100418091
20,14.848804473876953,2.3698647022247314,13.547865867614746,2.216378927230835
