epoch,loss,mae,val_loss,val_mae
1,57.10735321044922,5.154646396636963,16.057819366455078,2.69980788230896
2,18.14693832397461,2.723346710205078,15.173844337463379,2.523597478866577
3,17.754066467285156,2.645134210586548,14.867025375366211,2.427504777908325
4,17.391080856323242,2.5959789752960205,14.694605827331543,2.3905997276306152
5,17.074033737182617,2.559307336807251,14.61357307434082,2.3746702671051025
6,16.838191986083984,2.53354811668396,14.584822654724121,2.3665082454681396
7,16.680906295776367,2.5212247371673584,14.584300994873047,2.367680549621582
8,16.504379272460938,2.500748634338379,14.581117630004883,2.3625667095184326
9,16.379093170166016,2.492670774459839,14.602871894836426,2.387404680252075
10,16.235748291015625,2.482490062713623,14.637738227844238,2.370274782180786
11,16.131362915039062,2.4783763885498047,14.62555980682373,2.375871419906616
12,16.016695022583008,2.470747947692871,14.690618515014648,2.380540370941162
13,15.889833450317383,2.4629077911376953,14.734542846679688,2.385223388671875
14,15.770027160644531,2.4556825160980225,14.763322830200195,2.3768749237060547
15,15.623308181762695,2.447464942932129,14.822416305541992,2.3914334774017334
16,15.56091022491455,2.4461798667907715,14.92039966583252,2.4088172912597656
17,15.442980766296387,2.4406626224517822,14.982735633850098,2.421787738800049
18,15.295416831970215,2.429633378982544,15.00264835357666,2.4227850437164307
19,15.222013473510742,2.4270853996276855,15.045565605163574,2.4291813373565674
20,15.081931114196777,2.4184048175811768,15.098179817199707,2.4261956214904785
21,15.0112886428833,2.4167516231536865,15.155831336975098,2.449556589126587
22,14.927495956420898,2.411792278289795,15.163942337036133,2.4521191120147705
23,14.807047843933105,2.4014360904693604,15.278313636779785,2.464524745941162
24,14.726821899414062,2.39703369140625,15.381845474243164,2.4858851432800293
25,14.656763076782227,2.3989741802215576,15.40729808807373,2.4991111755371094
26,14.531331062316895,2.383945941925049,15.467940330505371,2.513077974319458
27,14.432695388793945,2.37986159324646,15.4907865524292,2.5235776901245117
28,14.36479663848877,2.3743340969085693,15.623767852783203,2.539818048477173
29,14.252459526062012,2.365417718887329,15.555495262145996,2.5154223442077637
30,14.180891990661621,2.360473871231079,15.599692344665527,2.518646717071533
31,14.08725643157959,2.35371994972229,15.791413307189941,2.5592362880706787
32,14.006072044372559,2.348640203475952,15.927408218383789,2.5945167541503906
33,13.872937202453613,2.337845802307129,15.92585277557373,2.5920095443725586
34,13.791465759277344,2.333336353302002,16.208742141723633,2.633580446243286
35,13.739262580871582,2.330794095993042,16.34422492980957,2.6806070804595947
36,13.581022262573242,2.3161120414733887,16.51954460144043,2.6883151531219482
37,13.54800796508789,2.3129563331604004,16.538576126098633,2.704744338989258
38,13.400252342224121,2.303762912750244,16.707868576049805,2.738269090652466
39,13.31055736541748,2.297358512878418,16.767925262451172,2.749934196472168
40,13.152198791503906,2.2790729999542236,17.149084091186523,2.783681869506836
41,13.073902130126953,2.277819871902466,17.329730987548828,2.822342872619629
42,12.882766723632812,2.263094186782837,17.251670837402344,2.7821428775787354
43,12.749671936035156,2.2515506744384766,17.483684539794922,2.82900333404541
44,12.662911415100098,2.2483303546905518,17.66164207458496,2.8176887035369873
45,12.583410263061523,2.2455642223358154,17.959501266479492,2.9049437046051025
